Date Time (UTC),Device,Direction,Payload,Approx Lat/Lng,Payload (Text),Length (Bytes),Credits
28/Apr/2021 02:01:00,RockBLOCK 19654 #3,MO,47d2467e9e88601d3cc52d45261a0f469ea58860ea60c62d43521b0f468fac88604dd3c62d1bd61e0f46afb38860093ac72d4860250f46b7ba88604070c72d2d5b2e0f46c3c18860ed6fc72d2b41390f45,"76.81798333333333,25.510633333333335",,81,2
28/Apr/2021 01:50:27,RockBLOCK 19663 #6,MO,332e32392c32303231303432383031343931312c37372e313439383439362c32332e38383239393230,"77.15888333333334,23.897016666666666","3.29,20210428014911,77.1498496,23.8829920",41,1
28/Apr/2021 01:19:55,RockBLOCK 19663 #6,MO,332e32392c32303231303432383031313933312c37372e313433373434302c32332e38343937313638,"77.15888333333334,23.897016666666666","3.29,20210428011931,77.1437440,23.8497168",41,1
28/Apr/2021 00:49:31,RockBLOCK 19663 #6,MO,332e32392c32303231303432383030343931312c37372e313337333530342c32332e38323230373230,"77.27923333333334,25.400366666666667","3.29,20210428004911,77.1373504,23.8220720",41,1
28/Apr/2021 00:21:19,RockBLOCK 19636 #2,MO,58a3a588605a09ce3cbe001d01a600bc00b700cd00f00093015a015e02ff00010165010b026c04d5033708420e0a119519d9239418843f065c9d884a5a356b226fe491529766c0ef59c05d275c454bd4645d57643bc951db84304e946f1f33334a75639f5f0a8ab25e9e4ead65e29ae8fd197376443859000045,"73.05908333333333,18.785016666666667",,122,3
28/Apr/2021 00:19:30,RockBLOCK 19663 #6,MO,332e33312c32303231303432383030343930392c37372e313335393830382c32332e38313335333932,"77.173,23.749483333333334","3.31,20210428004909,77.1359808,23.8135392",41,1
28/Apr/2021 00:15:39,RockBLOCK 19648 #8,MO,47c546dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0746dfea8660fc68832ccae0bb0745,"74.39936666666667,13.03455",,107,3
28/Apr/2021 00:02:19,RockBLOCK 19654 #3,MO,47ce463f668860213ac22db843550f465e6d8860afb7c12d1c624e0f46527488608f0ec22d3379480f46557b88602f3fc22d4f983f0f466a82886012bfc22daba6350f4687898860abb4c32dc4db2a0f466d908860649fc42d7fbb220f46749788603343c52d3dfb1c0f45,"76.83298333333333,25.368616666666668",,107,3
28/Apr/2021 00:00:34,RockBLOCK 19636 #2,MO,47794687908860cd148a2b38a9360b467597886018d3882bc4ab360b46979e8860fa91892b670f370b4689a58860cb4b892b2393370b45,"73.05908333333333,18.785016666666667",,55,2
27/Apr/2021 23:49:37,RockBLOCK 19663 #6,MO,332e33312c32303231303432373233343930392c37372e313237343831362c32332e37393431323936,"77.13303333333333,23.684666666666665","3.31,20210427234909,77.1274816,23.7941296",41,1
27/Apr/2021 23:19:32,RockBLOCK 19663 #6,MO,332e33302c32303231303432373233313930392c37372e313234373837322c32332e37393531313336,"77.11895,23.8319","3.30,20210427231909,77.1247872,23.7951136",41,1
27/Apr/2021 22:49:55,RockBLOCK 19663 #6,MO,332e33312c32303231303432373232343933302c37372e313233393734342c32332e38303738333834,"77.173,23.749483333333334","3.31,20210427224930,77.1239744,23.8078384",41,1
27/Apr/2021 22:22:01,RockBLOCK 19636 #2,MO,587e898860bc5f9d3cf3015801e5011e014301e7016b0159027902af0216021d024a03a004fd03350a620fc80c7e0f0e1a5e39a039dc8b155da274e54c42675678cb5f44669a613e463fa59f48f1a5103072c54b63e8fd56e639ab7cb90acfe86708762c7ee065d77b6eda4f386f5e9580e8cd85cc6d4f000045,"73.05908333333333,18.785016666666667",,122,3
27/Apr/2021 22:19:34,RockBLOCK 19663 #6,MO,332e32382c32303231303432373232313930382c37372e313237393631362c32332e38363137323136,"77.13303333333333,23.684666666666665","3.28,20210427221908,77.1279616,23.8617216",41,1
27/Apr/2021 22:00:29,RockBLOCK 19636 #2,MO,4775467f748860326c8b2bf2fb3b0b46577b88609b0c8b2bee273a0b46638288604fb08a2b2577380b4667898860796a8a2bb549370b45,"73.0701,18.668483333333334",,55,2
27/Apr/2021 21:49:30,RockBLOCK 19663 #6,MO,332e32392c32303231303432373231343930382c37372e313237393233322c32332e38363138393736,"77.11895,23.8319","3.29,20210427214908,77.1279232,23.8618976",41,1
27/Apr/2021 21:19:32,RockBLOCK 19663 #6,MO,332e33312c32303231303432373231313930372c37372e313332323439362c32332e38393938353132,"77.10478333333333,23.978783333333332","3.31,20210427211907,77.1322496,23.8998512",41,1
27/Apr/2021 20:49:33,RockBLOCK 19663 #6,MO,332e32392c32303231303432373230343930382c37372e313337313538342c32332e39343136333230,"77.15888333333334,23.897016666666666","3.29,20210427204908,77.1371584,23.9416320",41,1
27/Apr/2021 20:21:29,RockBLOCK 19636 #2,MO,58646d886048d89f3c9401ca01f2010a029c015f0199013f02c00320024e02e4023f03a803f803150b2f0c061893269a45ab503e3a7c4ad26de15d856bf095ea6470be5f8c3b3b3fa66a7d2995e8fd03b8306899b6038e4d747494f6bdc1714d8b03718c97f9b29dcc3b483d3b2d9488528ba9c7a35abc000045,"73.09156666666667,18.8247",,122,3
27/Apr/2021 20:19:29,RockBLOCK 19663 #6,MO,332e33302c32303231303432373230313930372c37372e313433343934342c32332e39383534303634,"77.173,23.749483333333334","3.30,20210427201907,77.1434944,23.9854064",41,1
27/Apr/2021 20:00:36,RockBLOCK 19636 #2,MO,4771464d58886045c08c2bf3fd440b46335f8860b8628c2ba3c1420b463e6688608d0f8c2b7e4d400b464b6d8860d5ac8b2b8de43d0b45,"73.0701,18.668483333333334",,55,2
27/Apr/2021 19:49:51,RockBLOCK 19663 #6,MO,332e32392c32303231303432373139343933312c37372e313531363335322c32342e30323539353336,"77.12243333333333,24.191066666666668","3.29,20210427194931,77.1516352,24.0259536",41,1
