positions for logger RockBLOCK 18950
2020-07-22 14:07:27 (UTC) : 80.95894166666666 N, 14.58056 E (DD) 8057.5365 N, 01434.8336 E (DMS)
2020-07-22 20:30:22 (UTC) : 80.96463666666666 N, 14.463798333333333 E (DD) 8057.8782 N, 01427.8279 E (DMS)
2020-07-22 23:59:13 (UTC) : 80.955605 N, 14.413913333333333 E (DD) 8057.3363 N, 01424.8348 E (DMS)
2020-07-23 03:02:43 (UTC) : 80.94989833333334 N, 14.349146666666666 E (DD) 8056.9939 N, 01420.9488 E (DMS)
2020-07-23 06:30:54 (UTC) : 80.95372833333333 N, 14.280513333333333 E (DD) 8057.2237 N, 01416.8308 E (DMS)
2020-07-23 09:59:19 (UTC) : 80.94417666666666 N, 14.170966666666667 E (DD) 8056.6506 N, 01410.2580 E (DMS)
2020-07-23 13:28:24 (UTC) : 80.939945 N, 13.914351666666667 E (DD) 8056.3967 N, 01354.8611 E (DMS)
2020-07-23 16:58:49 (UTC) : 80.94624333333333 N, 13.742908333333334 E (DD) 8056.7746 N, 01344.5745 E (DMS)
2020-07-23 20:27:00 (UTC) : 80.95485 N, 13.583255 E (DD) 8057.2910 N, 01334.9953 E (DMS)
2020-07-23 23:30:17 (UTC) : 80.95638833333334 N, 13.428898333333333 E (DD) 8057.3833 N, 01325.7339 E (DMS)
2020-07-24 02:58:13 (UTC) : 80.97008833333334 N, 13.316056666666666 E (DD) 8058.2053 N, 01318.9634 E (DMS)
2020-07-24 06:26:24 (UTC) : 80.98884 N, 13.280358333333334 E (DD) 8059.3304 N, 01316.8215 E (DMS)
2020-07-24 09:54:39 (UTC) : 80.99729166666667 N, 13.237765 E (DD) 8059.8375 N, 01314.2659 E (DMS)
2020-07-24 13:22:59 (UTC) : 80.99112 N, 13.142648333333334 E (DD) 8059.4672 N, 01308.5589 E (DMS)
2020-07-24 16:27:10 (UTC) : 80.99642666666666 N, 13.067805 E (DD) 8059.7856 N, 01304.0683 E (DMS)
2020-07-24 19:55:57 (UTC) : 80.999975 N, 13.029741666666666 E (DD) 8059.9985 N, 01301.7845 E (DMS)
2020-07-24 23:24:09 (UTC) : 80.99222833333333 N, 12.968231666666666 E (DD) 8059.5337 N, 01258.0939 E (DMS)
2020-07-25 02:52:19 (UTC) : 80.98592333333333 N, 12.8437 E (DD) 8059.1554 N, 01250.6220 E (DMS)
2020-07-25 06:20:37 (UTC) : 80.99580166666667 N, 12.78384 E (DD) 8059.7481 N, 01247.0304 E (DMS)
2020-07-25 09:49:10 (UTC) : 81.00029333333333 N, 12.748295 E (DD) 8100.0176 N, 01244.8977 E (DMS)
2020-07-25 13:17:45 (UTC) : 80.99435833333334 N, 12.63286 E (DD) 8059.6615 N, 01237.9716 E (DMS)
2020-07-25 16:46:17 (UTC) : 80.99837 N, 12.467715 E (DD) 8059.9022 N, 01228.0629 E (DMS)
2020-07-25 20:19:38 (UTC) : 81.00713 N, 12.397668333333334 E (DD) 8100.4278 N, 01223.8601 E (DMS)
2020-07-26 02:44:55 (UTC) : 81.01259833333333 N, 12.187018333333333 E (DD) 8100.7559 N, 01211.2211 E (DMS)
2020-07-26 06:13:06 (UTC) : 81.02697666666667 N, 12.117241666666667 E (DD) 8101.6186 N, 01207.0345 E (DMS)
2020-07-26 09:42:25 (UTC) : 81.03828666666666 N, 12.062661666666667 E (DD) 8102.2972 N, 01203.7597 E (DMS)
2020-07-26 13:11:10 (UTC) : 81.03851333333333 N, 11.924683333333334 E (DD) 8102.3108 N, 01155.4810 E (DMS)
